localId,localName,landmarkRank,lat,lng
1556482,解放军艺术学院,1,39.95531,116.3239
1556661,中国协和医科大学,1,39.91080196,116.4145979
1556740,中国妇女儿童博物馆,1,39.90847,116.423912
1557410,中国曲艺非遗博物馆,1,39.87782,116.326714
1562388,乡村高尔夫俱乐部,1,25.03837,102.715958
1566817,伊势丹,1,39.11869,117.19593
1572095,八佰伴,1,31.57157,120.302391
1573817,兴隆山国家4A级森林公园,1,35.77645,104.057152
1577438,北京体育大学,1,40.01404092,116.318661
1577541,北京城市学院,1,39.98733894,116.3463042
1579667,华东政法大学,1,31.05526,121.20063
1581034,华纳国际高尔夫俱乐部,1,39.03214,117.673042
1581708,协和高尔夫俱乐部,1,31.47737,121.23278
1581925,南京医科大学,1,31.94667,118.839821
1581961,南京奥林匹克体育中心,1,32.00654,118.728531
1581974,南京工业大学,1,32.07591,118.778763
1582417,南山滑雪场,1,40.33576,116.86084
1582585,南昌大学,1,28.66452,115.906967
1584785,友谊商城,1,28.1577,113.048279
1587450,吉林省图书馆,1,43.82845,125.37516
1597930,圣玛加利大堂,1,22.27455,114.185066
1598299,地质宫博物馆,1,43.88334,125.3075
1600414,大佛寺石窟,1,35.032,108.094513
1600859,大商新玛特,1,34.26482,108.96225
1600860,大商新玛特购物休闲广场,1,38.91608,121.63298
1605154,天津工业大学,1,39.12942,117.275726
1605269,天津音乐学院,1,39.1238,117.229309
1611086,宁海火车站,1,29.33295,121.452141
1618380,山东建筑大学,1,36.66529,117.042389
1618818,山西医科大学,1,37.85042,112.552742
1618823,山西大学,1,37.80611,112.584129
1628632,怀北国际滑雪场,1,40.44242,116.663643
1630914,成都市图书馆,1,30.65269,104.060371
1631645,抗洪纪念碑,1,30.59185,114.305618
1633830,新乐遗址博物馆,1,41.84614,123.415062
1635780,新玛特购物广场,1,34.26782,108.962646
1637434,无锡图书馆,1,31.5484,120.305779
1642007,曦岭国际滑雪场,1,37.87066,112.550613
1652656,水滴体育场,1,39.07989,117.163239
1655024,江汉大学,1,30.50809,114.160149
1655244,江西师范大学,1,28.67936,115.923737
1655495,汤臣高尔夫球场,1,31.2098,121.57737
1659727,海信广场,1,39.11737,117.218391
1662626,渔阳国际滑雪场,1,40.10794,117.121979
1663430,湖南中医药大学,1,28.16576,112.995079
1663478,湖南图书馆,1,28.18885,112.997528
1667884,燕莎友谊商城,1,37.81771,112.555923
1670856,王府饭店,1,38.03662,114.603981
1672301,厦门理工学院,1,24.43944,118.090157
1675991,百盛,1,38.91088,121.610062
1675993,百盛,1,34.25952,108.9653
1675997,百盛商场,1,22.81461,108.322083
1676002,百盛,1,25.03552,102.710579
1681377,私人室内高尔夫俱乐部,1,30.68855,104.020409
1686296,红色剧院,1,28.19982,112.978081
1687724,维多利广场,1,23.13468496,113.3215241
1689532,美兰湖高尔夫俱乐部,1,31.40225207,121.3648319
1700181,苏州大学,1,31.30193,120.628319
1708179,西苑饭店,1,32.08017,118.768158
1710533,财富广场,1,23.13612,113.328712
1714649,邮政博物馆,1,39.90419,116.418648
1715868,重庆交通大学,1,29.48749,106.572273
1716051,重庆工商大学,1,29.50606,106.574
1716099,重庆广播电视大学,1,29.51229,106.510071
1718859,金沙江高尔夫俱乐部,1,31.24225,121.290733
1720305,金花宝马,1,34.21987,108.887718
1723023,银杏湖国际高尔夫俱乐部,1,31.7953,118.70549
1724638,长春市图书馆,1,43.93725,125.32711
1724852,长白岛森林公园,1,41.75733,123.395348
1729086,雪世界滑雪场,1,40.26674,116.203728
1729979,青岛市图书馆,1,36.08679,120.375458
1735087,香港电影学院,1,22.32828,114.1608
1738649,鹰山森林公园,1,39.873,116.170532
